Ticker,Price,ATR%,Base_Duration_Days,RS_Rating
AG,15.33,5.41,5,74.77
ANAB,34.4,6.36,9,74.52
AEM,185.52,2.73,10,74.37
ADPT,17.27,4.31,5,73.62
AMD,234.56,4.85,7,72.6
AMX,22.55,2.18,24,71.64
AKRO,53.66,1.78,17,69.98
AEIS,192.22,3.75,14,68.91
AGI,37.47,3.32,13,68.13
ALNY,481.07,2.98,48,67.37
AEP,117.53,1.83,59,66.7
AMLX,15.17,7.22,6,65.15
ACLX,88.85,4.21,10,64.94
AEE,105.21,1.35,60,64.16
ABVX,92.91,4.15,8,64.05
AL,63.55,0.24,46,62.48
AES,14.82,3.26,12,61.23
AGX,296.39,5.23,5,60.94
AHR,42.47,2.02,54,58.15
ADM,62.9,3.05,47,58.11
ALNT,49.63,4.91,4,57.92
ACMR,39.68,5.66,8,57.32
ALLE,177.5,1.48,60,57.02
AMSC,63.05,7.59,12,56.46
ACHR,11.87,10.75,7,56.23
ADX,22.51,1.2,60,55.64
ACM,131.0,1.96,46,55.04
AIR,82.86,3.22,16,54.97
AORT,41.54,2.76,45,54.41
ABBV,226.87,2.36,22,53.19
ANIP,91.95,2.55,42,52.52
ADUR,14.97,8.28,7,52.45
ADEA,16.61,4.52,19,52.16
ALHC,16.99,3.89,35,52.02
ANET,146.01,4.84,25,50.94
APP,605.68,6.74,8,50.69
AMG,233.85,2.99,41,47.32
AAMI,45.71,3.45,37,46.18
AER,120.23,1.73,46,45.05
AN,213.64,2.45,47,44.08
ACLS,83.62,5.34,12,43.9
AFL,106.73,1.69,51,38.85
AM,17.96,2.19,51,37.08
ABCB,69.41,3.0,48,36.87
